书名,评分,ISBN,字数（千）,阅读时间(min),速度(字/min）,备注,开始时间,完成时间
硅谷之火,3.5,9787115516824,317,750,= (D2 * 1000 ) / E2,,2022.5.11,2023.12.24
前方的路,4,9787115480750,129,281,= (D3 * 1000 ) / E3,,2023.12.17,2023.12.20
刻意练习：如何从新手到大师,2.5,9787111551287,271,215,NaN,略读，速度无效,2023.12.24,2023.12.29
分成两半的子爵,4,,,,= (D5 * 1000 ) / E5,,,
不存在的骑士,4,,,,,,,
树上的男爵,4,,,,,,,
